parcelle_id,date,culture,rendement_estime,rendement_final,progression
P001,2020-01-31,Ble,0.0,,0.0
P001,2020-02-29,Ble,0.83,,12.1
P001,2020-03-31,Ble,1.61,,25.0
P001,2020-04-30,Mais,0.0,,0.0
P001,2020-05-31,Mais,1.6,,17.2
P001,2020-06-30,Mais,3.41,,33.9
P001,2020-07-31,Mais,4.19,,51.1
P001,2020-08-31,Mais,5.82,,68.3
P001,2020-09-30,Mais,7.65,,85.0
P001,2020-10-31,Tournesol,0.0,,0.0
P001,2020-11-30,Tournesol,0.6,,20.0
P001,2020-12-31,Tournesol,1.2,,40.7
P001,2021-01-31,Tournesol,1.92,,61.3
P001,2021-02-28,Tournesol,2.81,,80.0
P001,2021-03-31,Tournesol,3.48,3.166174628524435,100.0
P001,2021-04-30,Tournesol,3.33,3.166174628524435,100.0
P001,2021-05-31,Tournesol,3.19,3.166174628524435,100.0
P001,2021-06-30,Tournesol,2.99,3.166174628524435,100.0
P001,2021-07-31,Tournesol,2.9,3.166174628524435,100.0
P001,2021-08-31,Tournesol,3.25,3.166174628524435,100.0
P001,2021-09-30,Tournesol,2.95,3.166174628524435,100.0
P001,2021-10-31,Mais,0.0,,0.0
P001,2021-11-30,Mais,1.53,,16.7
P001,2021-12-31,Mais,3.32,,33.9
P001,2022-01-31,Mais,4.89,,51.1
P001,2022-02-28,Mais,6.98,,66.7
P001,2022-03-31,Ble,0.0,,0.0
P001,2022-04-30,Mais,0.0,,0.0
P001,2022-05-31,Mais,1.91,,17.2
P001,2022-06-30,Mais,3.55,,33.9
P001,2022-07-31,Mais,5.26,,51.1
P001,2022-08-31,Mais,6.7,,68.3
P001,2022-09-30,Mais,8.4,,85.0
P001,2022-10-31,Ble,0.0,,0.0
P001,2022-11-30,Ble,0.72,,12.5
P001,2022-12-31,Ble,1.64,,25.4
P001,2023-01-31,Ble,2.2,,38.3
P001,2023-02-28,Ble,3.11,,50.0
P001,2023-03-31,Ble,3.8,,62.9
P001,2023-04-30,Ble,0.0,,0.0
P001,2023-05-31,Ble,0.74,,12.9
P001,2023-06-30,Ble,1.51,,25.4
P001,2023-07-31,Ble,2.23,,38.3
P001,2023-08-31,Ble,2.62,,51.2
P001,2023-09-30,Ble,3.53,,63.7
P001,2023-10-31,Ble,4.15,,76.7
P001,2023-11-30,Ble,5.15,,89.2
P001,2023-12-31,Ble,6.33,5.970155357675108,100.0
P001,2024-01-31,Ble,6.21,5.970155357675108,100.0
P001,2024-02-29,Ble,6.58,5.970155357675108,100.0
P001,2024-03-31,Ble,7.26,5.970155357675108,100.0
P001,2024-04-30,Mais,0.0,,0.0
P001,2024-05-31,Mais,1.36,,17.2
P001,2024-06-30,Mais,2.76,,33.9
P001,2024-07-31,Mais,3.87,,51.1
P001,2024-08-31,Mais,4.75,,68.3
P001,2024-09-30,Mais,5.86,,85.0
P001,2024-10-31,Mais,0.0,,0.0
P001,2024-11-30,Mais,1.18,,16.7
P001,2024-12-31,Mais,2.56,,33.9
P002,2020-01-31,Mais,0.0,,0.0
P002,2020-02-29,Mais,1.49,,16.1
P002,2020-03-31,Mais,3.14,,33.3
P002,2020-04-30,Tournesol,0.0,,0.0
P002,2020-05-31,Tournesol,0.83,,20.7
P002,2020-06-30,Tournesol,1.6,,40.7
P002,2020-07-31,Tournesol,2.39,,61.3
P002,2020-08-31,Tournesol,2.93,,82.0
P002,2020-09-30,Tournesol,3.44,3.9868169341073125,100.0
P002,2020-10-31,Ble,0.0,,0.0
P002,2020-11-30,Ble,0.64,,12.5
P002,2020-12-31,Ble,1.38,,25.4
P002,2021-01-31,Ble,2.1,,38.3
P002,2021-02-28,Ble,2.93,,50.0
P002,2021-03-31,Mais,0.0,,0.0
P002,2021-04-30,Mais,0.0,,0.0
P002,2021-05-31,Mais,2.15,,17.2
P002,2021-06-30,Mais,3.96,,33.9
P002,2021-07-31,Mais,5.84,,51.1
P002,2021-08-31,Mais,7.78,,68.3
P002,2021-09-30,Mais,9.62,,85.0
P002,2021-10-31,Tournesol,0.0,,0.0
P002,2021-11-30,Tournesol,0.55,,20.0
P002,2021-12-31,Tournesol,1.19,,40.7
P002,2022-01-31,Tournesol,1.91,,61.3
P002,2022-02-28,Tournesol,2.55,,80.0
P002,2022-03-31,Tournesol,3.37,3.0634733621677612,100.0
P002,2022-04-30,Tournesol,3.24,3.0634733621677612,100.0
P002,2022-05-31,Tournesol,3.38,3.0634733621677612,100.0
P002,2022-06-30,Tournesol,3.0,3.0634733621677612,100.0
P002,2022-07-31,Tournesol,3.1,3.0634733621677612,100.0
P002,2022-08-31,Tournesol,2.85,3.0634733621677612,100.0
P002,2022-09-30,Tournesol,2.7,3.0634733621677612,100.0
P002,2022-10-31,Mais,0.0,,0.0
P002,2022-11-30,Mais,1.43,,16.7
P002,2022-12-31,Mais,3.1,,33.9
P002,2023-01-31,Mais,4.68,,51.1
P002,2023-02-28,Mais,06.01,,66.7
P002,2023-03-31,Mais,8.74,,83.9
P002,2023-04-30,Mais,9.44,8.562412075017264,100.0
P002,2023-05-31,Mais,9.14,8.562412075017264,100.0
P002,2023-06-30,Mais,8.91,8.562412075017264,100.0
P002,2023-07-31,Mais,7.74,8.562412075017264,100.0
P002,2023-08-31,Mais,8.79,8.562412075017264,100.0
P002,2023-09-30,Mais,7.94,8.562412075017264,100.0
P002,2023-10-31,Ble,0.0,,0.0
P002,2023-11-30,Ble,0.56,,12.5
P002,2023-12-31,Ble,1.26,,25.4
P002,2024-01-31,Ble,2.0,,38.3
P002,2024-02-29,Ble,2.67,,50.4
P002,2024-03-31,Tournesol,0.0,,0.0
P002,2024-04-30,Tournesol,0.0,,0.0
P002,2024-05-31,Tournesol,0.86,,20.7
P002,2024-06-30,Tournesol,1.58,,40.7
P002,2024-07-31,Tournesol,2.22,,61.3
P002,2024-08-31,Tournesol,03.06,,82.0
P002,2024-09-30,Tournesol,3.11,3.8921279453374735,100.0
P002,2024-10-31,Ble,0.0,,0.0
P002,2024-11-30,Ble,0.81,,12.5
P002,2024-12-31,Ble,1.62,,25.4
P003,2020-01-31,Mais,0.0,,0.0
P003,2020-02-29,Mais,1.84,,16.1
P003,2020-03-31,Mais,0.0,,0.0
P003,2020-04-30,Mais,1.55,,16.7
P003,2020-05-31,Mais,2.97,,33.9
P003,2020-06-30,Mais,4.7,,50.6
P003,2020-07-31,Mais,5.31,,67.8
P003,2020-08-31,Mais,6.42,,85.0
P003,2020-09-30,Mais,7.44,8.472805653391536,100.0
P003,2020-10-31,Ble,0.0,,0.0
P003,2020-11-30,Ble,0.64,,12.5
P003,2020-12-31,Ble,1.17,,25.4
P003,2021-01-31,Ble,2.14,,38.3
P003,2021-02-28,Ble,2.67,,50.0
P003,2021-03-31,Ble,3.48,,62.9
P003,2021-04-30,Ble,0.0,,0.0
P003,2021-05-31,Ble,0.71,,12.9
P003,2021-06-30,Ble,1.29,,25.4
P003,2021-07-31,Ble,1.96,,38.3
P003,2021-08-31,Ble,2.32,,51.2
P003,2021-09-30,Ble,2.93,,63.7
P003,2021-10-31,Mais,0.0,,0.0
P003,2021-11-30,Mais,1.34,,16.7
P003,2021-12-31,Mais,03.07,,33.9
P003,2022-01-31,Mais,4.94,,51.1
P003,2022-02-28,Mais,07.01,,66.7
P003,2022-03-31,Mais,0.0,,0.0
P003,2022-04-30,Mais,1.48,,16.7
P003,2022-05-31,Mais,2.68,,33.9
P003,2022-06-30,Mais,3.62,,50.6
P003,2022-07-31,Mais,4.58,,67.8
P003,2022-08-31,Mais,5.91,,85.0
P003,2022-09-30,Mais,7.24,7.443621679825956,100.0
P003,2022-10-31,Mais,0.0,,0.0
P003,2022-11-30,Mais,1.75,,16.7
P003,2022-12-31,Mais,3.43,,33.9
P003,2023-01-31,Mais,5.61,,51.1
P003,2023-02-28,Mais,7.74,,66.7
P003,2023-03-31,Mais,9.93,,83.9
P003,2023-04-30,Mais,12.28,10.5662834092425,100.0
P003,2023-05-31,Mais,11.07,10.5662834092425,100.0
P003,2023-06-30,Mais,11.12,10.5662834092425,100.0
P003,2023-07-31,Mais,10.15,10.5662834092425,100.0
P003,2023-08-31,Mais,9.33,10.5662834092425,100.0
P003,2023-09-30,Mais,9.83,10.5662834092425,100.0
P003,2023-10-31,Ble,0.0,,0.0
P003,2023-11-30,Ble,0.58,,12.5
P003,2023-12-31,Ble,1.17,,25.4
P003,2024-01-31,Ble,1.95,,38.3
P003,2024-02-29,Ble,2.57,,50.4
P003,2024-03-31,Ble,0.0,,0.0
P003,2024-04-30,Ble,0.0,,0.0
P003,2024-05-31,Ble,0.85,,12.9
P003,2024-06-30,Ble,1.52,,25.4
P003,2024-07-31,Ble,2.3,,38.3
P003,2024-08-31,Ble,2.77,,51.2
P003,2024-09-30,Ble,3.6,,63.7
P003,2024-10-31,Ble,0.0,,0.0
P003,2024-11-30,Ble,0.83,,12.5
P003,2024-12-31,Ble,1.89,,25.4
P004,2020-01-31,Mais,0.0,,0.0
P004,2020-02-29,Mais,1.55,,16.1
P004,2020-03-31,Ble,0.0,,0.0
P004,2020-04-30,Ble,01.06,,12.5
P004,2020-05-31,Ble,2.19,,25.4
P004,2020-06-30,Ble,3.13,,37.9
P004,2020-07-31,Ble,3.9,,50.8
P004,2020-08-31,Ble,4.56,,63.7
P004,2020-09-30,Ble,5.79,,76.2
P004,2020-10-31,Mais,0.0,,0.0
P004,2020-11-30,Mais,1.82,,16.7
P004,2020-12-31,Mais,4.16,,33.9
P004,2021-01-31,Mais,6.48,,51.1
P004,2021-02-28,Mais,8.46,,66.7
P004,2021-03-31,Mais,0.0,,0.0
P004,2021-04-30,Mais,0.0,,0.0
P004,2021-05-31,Mais,1.96,,17.2
P004,2021-06-30,Mais,3.47,,33.9
P004,2021-07-31,Mais,5.46,,51.1
P004,2021-08-31,Mais,6.32,,68.3
P004,2021-09-30,Mais,7.73,,85.0
P004,2021-10-31,Mais,9.48,10.238096569375786,100.0
P004,2021-11-30,Mais,11.03,10.238096569375786,100.0
P004,2021-12-31,Mais,10.74,10.238096569375786,100.0
P004,2022-01-31,Mais,9.31,10.238096569375786,100.0
P004,2022-02-28,Mais,10.91,10.238096569375786,100.0
P004,2022-03-31,Tournesol,0.0,,0.0
P004,2022-04-30,Tournesol,0.56,,20.0
P004,2022-05-31,Tournesol,1.2,,40.7
P004,2022-06-30,Tournesol,1.59,,60.7
P004,2022-07-31,Tournesol,1.95,,81.3
P004,2022-08-31,Tournesol,2.46,2.763681855761978,100.0
P004,2022-09-30,Tournesol,2.39,2.763681855761978,100.0
P004,2022-10-31,Mais,0.0,,0.0
P004,2022-11-30,Mais,1.66,,16.7
P004,2022-12-31,Mais,3.59,,33.9
P004,2023-01-31,Mais,5.48,,51.1
P004,2023-02-28,Mais,6.45,,66.7
P004,2023-03-31,Tournesol,0.0,,0.0
P004,2023-04-30,Tournesol,0.0,,0.0
P004,2023-05-31,Tournesol,0.64,,20.7
P004,2023-06-30,Tournesol,1.12,,40.7
P004,2023-07-31,Tournesol,1.71,,61.3
P004,2023-08-31,Tournesol,2.21,,82.0
P004,2023-09-30,Tournesol,2.39,2.844693590250345,100.0
